lam1,lam2,h,pi1,pi2,T,I2,tau0,cu,Ibar_now,floor_future,waiting_now,overtaken_later,V,instance
1.93,3.19,2.28,3.66,8.17,8.2,13,8.2,6.21,14,5,TRUE,TRUE,540.3462255,1
1.93,3.19,2.28,3.66,8.17,8.2,13,8.2,9.143,15,7,TRUE,TRUE,540.6524077,1
1.93,3.19,2.28,3.66,8.17,8.2,13,8.2,12.076,15,9,TRUE,TRUE,540.6999094,1
1.93,3.19,2.28,3.66,8.17,8.2,13,8.2,15.008,16,11,TRUE,TRUE,540.7061707,1
1.93,3.19,2.28,3.66,8.17,8.2,13,8.2,17.941,17,13,TRUE,TRUE,540.7067039,1
1.93,3.19,2.28,3.66,8.17,8.2,13,8.2,20.873,18,14,TRUE,FALSE,540.7067167,1
1.93,3.19,2.28,3.66,8.17,8.2,13,8.2,23.806,19,16,TRUE,FALSE,540.7067167,1
1.93,3.19,2.28,3.66,8.17,8.2,13,8.2,26.739,20,18,TRUE,FALSE,540.7067167,1
1.93,3.19,2.28,3.66,8.17,8.2,13,8.2,29.671,21,19,TRUE,FALSE,540.7067167,1
1.93,3.19,2.28,3.66,8.17,8.2,13,8.2,32.604,22,21,TRUE,FALSE,540.7067167,1
1.93,3.19,2.28,3.66,8.17,8.2,13,8.2,35.537,23,23,TRUE,FALSE,540.7067167,1
1.93,3.19,2.28,3.66,8.17,8.2,13,8.2,38.469,25,25,TRUE,FALSE,540.7067167,1
1.93,3.19,2.28,3.66,8.17,8.2,13,8.2,41.402,26,26,TRUE,FALSE,540.7067167,1
1.53,5.95,0.95,2.21,9.1,7.1,30,7.1,2.861,31,9,TRUE,TRUE,296.1213264,2
1.53,5.95,0.95,2.21,9.1,7.1,30,7.1,4.211,32,12,TRUE,TRUE,296.3670165,2
1.53,5.95,0.95,2.21,9.1,7.1,30,7.1,5.562,33,15,TRUE,TRUE,296.4765514,2
1.53,5.95,0.95,2.21,9.1,7.1,30,7.1,6.913,34,18,TRUE,TRUE,296.5198824,2
1.53,5.95,0.95,2.21,9.1,7.1,30,7.1,8.264,35,21,TRUE,TRUE,296.5340984,2
1.53,5.95,0.95,2.21,9.1,7.1,30,7.1,9.615,36,24,TRUE,TRUE,296.5375589,2
1.53,5.95,0.95,2.21,9.1,7.1,30,7.1,10.966,36,27,TRUE,TRUE,296.5380704,2
1.53,5.95,0.95,2.21,9.1,7.1,30,7.1,12.316,37,30,TRUE,TRUE,296.5381003,2
1.53,5.95,0.95,2.21,9.1,7.1,30,7.1,13.667,39,32,TRUE,FALSE,296.5381005,2
1.53,5.95,0.95,2.21,9.1,7.1,30,7.1,15.018,40,35,TRUE,FALSE,296.5381005,2
1.53,5.95,0.95,2.21,9.1,7.1,30,7.1,16.369,41,38,TRUE,FALSE,296.5381005,2
1.53,5.95,0.95,2.21,9.1,7.1,30,7.1,17.72,42,41,TRUE,FALSE,296.5381005,2
1.53,5.95,0.95,2.21,9.1,7.1,30,7.1,19.071,44,44,TRUE,FALSE,296.5381005,2
6.74,7.35,2.17,0.72,2.52,8.8,28,8.8,3.243,30,11,TRUE,TRUE,543.0776204,3
6.74,7.35,2.17,0.72,2.52,8.8,28,8.8,4.774,33,15,TRUE,TRUE,543.0786014,3
6.74,7.35,2.17,0.72,2.52,8.8,28,8.8,6.305,35,19,TRUE,TRUE,543.0786047,3
6.74,7.35,2.17,0.72,2.52,8.8,28,8.8,7.836,38,23,TRUE,TRUE,543.0786047,3
6.74,7.35,2.17,0.72,2.52,8.8,28,8.8,9.367,40,28,TRUE,TRUE,543.0786047,3
6.74,7.35,2.17,0.72,2.52,8.8,28,8.8,10.899,42,32,TRUE,FALSE,543.0786047,3
6.74,7.35,2.17,0.72,2.52,8.8,28,8.8,12.43,45,36,TRUE,FALSE,543.0786047,3
