instance,lam1,lam2,h,pi1,pi2,T,I2,tau0,cu_min,cu_max,n_cu_overtaken,n_cu_safe,cu_star,V_span_all,V_span_rel_pct,V_span_overtaken,V_span_safe,dV_dcu_overtaken
1,1.93,3.19,2.28,3.66,8.17,8.2,13,8.2,6.21,41.402,5,8,20.873,0.3604911506,0.06667437107,0.3604783957,0,0.02641735177
2,1.53,5.95,0.95,2.21,9.1,7.1,30,7.1,2.861,19.071,8,5,13.667,0.4167740869,0.1405710673,0.4167739264,0,0.03498544387
3,6.74,7.35,2.17,0.72,2.52,8.8,28,8.8,3.243,21.617,5,8,10.899,0.0009842888422,0.0001812424521,0.0009842888422,0,0.0001287920279
4,10.66,1.85,0.66,3.68,10.94,9.5,11,9.5,5.257,35.046,6,7,20.151,0.6691881753,0.03425726659,0.6688762616,0,0.04975248503
5,1.37,3.19,2.55,2.42,7.6,6.6,12,6.6,4.182,27.882,6,7,16.032,0.5476469504,0.2224334114,0.5476320238,0,0.04761079356
6,11.06,3.95,2.04,2.34,7.37,9.6,21,9.6,5.361,35.741,6,7,20.551,0.08450713552,0.005286694396,0.08450704588,0,0.005339466679
7,1.63,0.94,0.82,1.66,2.39,8.2,2,8.2,2.593,17.286,1,12,3.817,0.0180240813,0.01310513318,0,0,0
8,2.09,6.76,2.25,2.78,5.13,6,15,6,3.848,25.653,4,9,11.116,0.001043004637,0.0002620760028,0.001043004621,0,0.0001725854633
9,1.24,2.67,0.67,0.22,7.5,6.8,18,6.8,0.772,5.144,9,4,4.051,1.19327273,2.004358626,1.192777286,0,0.3888051739
10,11.22,4.36,1.73,3.91,8.15,4.2,9,4.2,3.02,20.135,5,8,10.151,0.2842781732,0.05752228571,0.28424323,0,0.04447348521
11,3.01,1.49,1.51,1.76,3.92,6.8,4,6.8,2.835,18.901,3,10,6.851,0.05617156245,0.02999448814,0.05488020387,0,0.02049298128
12,1.46,2.78,0.23,2.69,7.19,3.1,5,3.1,1.154,7.694,4,9,3.334,0.08132245605,0.1888752064,0.07917003917,0,0.04799739977
13,1.29,1.02,0.8,0.76,2.49,6.4,3,6.4,1.273,8.486,3,10,3.076,0.03769639736,0.08684526847,0.03757797853,0,0.03126287732
14,1.2,2.55,1.01,1.74,3.5,9.9,10,9.9,3.471,23.141,4,9,10.028,0.002956439055,0.001018121044,0.002956368669,0,0.0005559417293
15,8.09,2.93,1.35,0.97,6.45,5.9,13,5.9,1.745,11.635,7,6,7.514,1.079335262,0.5108740349,1.077956924,0,0.2053181326
16,23.9,3.88,2.39,1.96,4.8,4.1,7,4.1,2.274,15.16,4,9,6.569,0.0908023676,0.0195518067,0.09062907204,0,0.02683673379
17,20.65,0.65,2.03,1.66,7.32,8.1,3,8.1,3.811,25.406,3,10,9.21,0.4252873053,0.03584128031,0.3720944182,0,0.1033856805
18,7.3,7.43,2.93,0.74,3.23,5.1,17,5.1,2.386,15.909,5,8,8.021,0.009450376032,0.004124923222,0.009450375568,0,0.001716533705
19,4.5,0.42,1.6,2.97,8.88,6.8,2,6.8,3.962,26.415,3,10,9.575,1.812023249,0.5318202006,1.372906057,0,0.3668909827
20,19.35,1.43,0.45,1.59,9.49,9.6,12,9.6,2.497,16.646,8,5,11.93,2.974561444,0.2009843502,2.973064489,0,0.3457876774
21,3.41,1.12,1.46,2.94,4.86,7.4,3,7.4,4.151,27.676,3,10,10.033,0.2217160459,0.06345366948,0.2208045287,0,0.05631613533
22,2.67,5.13,2.08,0.57,1.54,4.6,8,4.6,1.554,10.362,3,10,3.756,0.007312843831,0.01069132297,0.007311214079,0,0.004980391062
23,6.93,0.31,1.11,3.73,9.43,5.9,1,5.9,3.641,24.273,1,12,5.36,0.1995399338,0.04211744174,0,0,0
24,2.06,2.29,1.18,1.06,2.12,3.2,3,3.2,0.914,6.093,3,10,2.209,0.1171053824,0.4826320827,0.1122484652,0,0.1300423027
25,16.21,0.69,1.77,3.6,5.97,8.3,2,8.3,5.683,37.885,2,11,11.05,0.3273534218,0.0156881321,0.2627807552,0,0.09794288304
