tau,Ibar
0.00998003992,inf
0.01996007984,inf
0.02994011976,inf
0.03992015968,inf
0.0499001996,inf
0.05988023952,inf
0.06986027944,inf
0.07984031936,inf
0.08982035928,inf
0.0998003992,inf
0.1097804391,inf
0.119760479,inf
0.129740519,inf
0.1397205589,inf
0.1497005988,inf
0.1596806387,inf
0.1696606786,inf
0.1796407186,inf
0.1896207585,inf
0.1996007984,inf
0.2095808383,inf
0.2195608782,inf
0.2295409182,inf
0.2395209581,inf
0.249500998,inf
0.2594810379,inf
0.2694610778,inf
0.2794411178,inf
0.2894211577,inf
0.2994011976,inf
0.3093812375,inf
0.3193612774,inf
0.3293413174,inf
0.3393213573,inf
0.3493013972,inf
0.3592814371,inf
0.369261477,inf
0.379241517,inf
0.3892215569,inf
0.3992015968,inf
0.4091816367,inf
0.4191616766,inf
0.4291417166,inf
0.4391217565,inf
0.4491017964,inf
0.4590818363,inf
0.4690618762,inf
0.4790419162,inf
0.4890219561,inf
0.499001996,inf
0.5089820359,inf
0.5189620758,inf
0.5289421158,inf
0.5389221557,inf
0.5489021956,inf
0.5588822355,inf
0.5688622754,inf
0.5788423154,inf
0.5888223553,inf
0.5988023952,inf
0.6087824351,inf
0.618762475,inf
0.628742515,inf
0.6387225549,inf
0.6487025948,inf
0.6586826347,inf
0.6686626747,inf
0.6786427146,inf
0.6886227545,inf
0.6986027944,inf
0.7085828343,inf
0.7185628743,inf
0.7285429142,inf
0.7385229541,inf
0.748502994,inf
0.7584830339,inf
0.7684630739,inf
0.7784431138,inf
0.7884231537,inf
0.7984031936,inf
0.8083832335,inf
0.8183632735,inf
0.8283433134,inf
0.8383233533,inf
0.8483033932,inf
0.8582834331,inf
0.8682634731,inf
0.878243513,inf
0.8882235529,inf
0.8982035928,inf
0.9081836327,inf
0.9181636727,inf
0.9281437126,inf
0.9381237525,inf
0.9481037924,inf
0.9580838323,inf
0.9680638723,inf
0.9780439122,inf
0.9880239521,inf
0.998003992,inf
1.007984032,10
1.017964072,9
1.027944112,9
1.037924152,9
1.047904192,8
1.057884232,8
1.067864271,8
1.077844311,8
1.087824351,8
1.097804391,8
1.107784431,7
1.117764471,7
1.127744511,7
1.137724551,7
1.147704591,7
1.157684631,7
1.167664671,7
1.177644711,7
1.18762475,7
1.19760479,7
1.20758483,7
1.21756487,7
1.22754491,7
1.23752495,7
1.24750499,7
1.25748503,7
1.26746507,7
1.27744511,7
1.28742515,7
1.29740519,7
1.30738523,7
1.317365269,7
1.327345309,7
1.337325349,7
1.347305389,7
1.357285429,7
1.367265469,7
1.377245509,7
1.387225549,7
1.397205589,7
1.407185629,7
1.417165669,7
1.427145709,7
1.437125749,7
1.447105788,7
1.457085828,7
1.467065868,7
1.477045908,7
1.487025948,7
1.497005988,7
1.506986028,7
1.516966068,7
1.526946108,7
1.536926148,7
1.546906188,7
1.556886228,7
1.566866267,7
1.576846307,7
1.586826347,7
1.596806387,7
1.606786427,7
1.616766467,7
1.626746507,7
1.636726547,7
1.646706587,7
1.656686627,7
1.666666667,7
1.676646707,7
1.686626747,7
1.696606786,7
1.706586826,7
1.716566866,7
1.726546906,7
1.736526946,7
1.746506986,7
1.756487026,7
1.766467066,7
1.776447106,7
1.786427146,7
1.796407186,7
1.806387226,7
1.816367265,7
1.826347305,7
1.836327345,7
1.846307385,7
1.856287425,7
1.866267465,7
1.876247505,7
1.886227545,7
1.896207585,7
