r\IA,0,1,2,3,4,5,6,7,8,9,10
20,,1,1,1,1,1,2,3,3,4,6
19,,1,1,1,1,1,2,2,3,4,6
18,,1,1,1,1,1,2,2,3,4,5
17,,1,1,1,1,1,2,2,3,4,5
16,,1,1,1,1,1,2,2,3,4,5
15,,1,1,1,1,1,2,2,3,4,5
14,,1,1,1,1,1,1,2,3,3,5
13,,1,1,1,1,1,1,2,3,3,4
12,,1,1,1,1,1,1,2,2,3,4
11,,1,1,1,1,1,1,2,2,3,4
10,,1,1,1,1,1,1,2,2,3,4
9,,1,1,1,1,1,1,2,2,3,4
8,,1,1,1,1,1,1,1,2,2,3
7,,1,1,1,1,1,1,1,2,2,3
6,,1,1,1,1,1,1,1,2,2,3
5,,1,1,1,1,1,1,1,1,2,3
4,,1,1,1,1,1,1,1,1,2,2
3,,1,1,1,1,1,1,1,1,1,2
2,,,2,2,1,1,1,1,1,2,3
1,,4,3,3,3,3,3,3,3,3,4

20,,1,1,1,1,1,2,3,3,4,6
19,,1,1,1,1,1,2,2,3,4,6
18,,1,1,1,1,1,2,2,3,4,5
17,,1,1,1,1,1,2,2,3,4,5
16,,1,1,1,1,1,2,2,3,4,5
15,,1,1,1,1,1,2,2,3,4,5
14,,1,1,1,1,1,1,2,3,3,5
13,,1,1,1,1,1,1,2,3,3,4
12,,1,1,1,1,1,1,2,2,3,4
11,,1,1,1,1,1,1,2,2,3,4
10,,1,1,1,1,1,1,2,2,3,4
9,,1,1,1,1,1,1,2,2,3,4
8,,1,1,1,1,1,1,1,2,2,3
7,,1,1,1,1,1,1,1,2,2,3
6,,1,1,1,1,1,1,1,2,2,3
5,,1,1,1,1,1,1,1,1,2,3
4,,1,1,1,1,1,1,1,1,2,2
3,,1,1,1,1,1,1,1,1,1,2
2,,,2,2,1,1,1,1,1,2,3
1,,4,3,3,3,3,3,3,3,3,4

