I2,b1,tau,V_wait,Action,q_star,V_final
0,0,5.0,350.0,WAIT,0,350.0
0,1,5.0,380.0,WAIT,0,380.0
0,2,5.0,410.0,WAIT,0,410.0
0,3,5.0,440.0,WAIT,0,440.0
0,4,5.0,470.0,WAIT,0,470.0
0,5,5.0,500.0,WAIT,0,500.0
0,6,5.0,530.0,WAIT,0,530.0
0,7,5.0,560.0,WAIT,0,560.0
0,8,5.0,590.0,WAIT,0,590.0
0,9,5.0,620.0,WAIT,0,620.0
0,10,5.0,650.0,WAIT,0,650.0
0,11,5.0,680.0,WAIT,0,680.0
0,12,5.0,710.0,WAIT,0,710.0
0,13,5.0,740.0,WAIT,0,740.0
0,14,5.0,770.0,WAIT,0,770.0
0,15,5.0,800.0,WAIT,0,800.0
0,16,5.0,830.0,WAIT,0,830.0
0,17,5.0,860.0,WAIT,0,860.0
0,18,5.0,890.0,WAIT,0,890.0
0,19,5.0,920.0,WAIT,0,920.0
0,20,5.0,950.0,WAIT,0,950.0
0,21,5.0,980.0,WAIT,0,980.0
0,22,5.0,1010.0,WAIT,0,1010.0
0,23,5.0,1040.0,WAIT,0,1040.0
0,24,5.0,1070.0,WAIT,0,1070.0
0,25,5.0,1100.0,WAIT,0,1100.0
0,26,5.0,1130.0,WAIT,0,1130.0
0,27,5.0,1160.0,WAIT,0,1160.0
0,28,5.0,1190.0,WAIT,0,1190.0
0,29,5.0,1220.0,WAIT,0,1220.0
0,30,5.0,1250.0,WAIT,0,1250.0
1,0,5.0,323.0,WAIT,0,323.0
1,1,5.0,353.00,WAIT,0,353.00
1,2,5.0,383.00,WAIT,0,383.00
1,3,5.0,413.00,WAIT,0,413.00
1,4,5.0,443.00,WAIT,0,443.00
1,5,5.0,473.00,WAIT,0,473.00
1,6,5.0,503.00,WAIT,0,503.00
1,7,5.0,533.00,WAIT,0,533.00
1,8,5.0,563.00,WAIT,0,563.00
1,9,5.0,593.00,WAIT,0,593.00
1,10,5.0,623.00,WAIT,0,623.00
1,11,5.0,653.00,WAIT,0,653.00
1,12,5.0,683.00,WAIT,0,683.00
1,13,5.0,713.00,WAIT,0,713.00
1,14,5.0,743.00,WAIT,0,743.00
1,15,5.0,773.00,WAIT,0,773.00
1,16,5.0,803.00,WAIT,0,803.00
1,17,5.0,833.00,WAIT,0,833.00
1,18,5.0,863.00,WAIT,0,863.00
1,19,5.0,893.00,WAIT,0,893.00
1,20,5.0,923.00,WAIT,0,923.00
1,21,5.0,953.00,WAIT,0,953.00
1,22,5.0,983.00,WAIT,0,983.00
1,23,5.0,1013.00,WAIT,0,1013.00
1,24,5.0,1043.00,WAIT,0,1043.00
1,25,5.0,1073.00,WAIT,0,1073.00
1,26,5.0,1103.00,WAIT,0,1103.00
1,27,5.0,1133.00,WAIT,0,1133.00
1,28,5.0,1163.00,WAIT,0,1163.00
1,29,5.0,1193.00,WAIT,0,1193.00
1,30,5.0,1223.00,WAIT,0,1223.00
2,0,5.0,299.0,WAIT,0,299.0
2,1,5.0,329.00,WAIT,0,329.00
2,2,5.0,359.00,WAIT,0,359.00
2,3,5.0,389.00,WAIT,0,389.00
2,4,5.0,419.00,WAIT,0,419.00
2,5,5.0,449.00,WAIT,0,449.00
2,6,5.0,479.00,WAIT,0,479.00
2,7,5.0,509.00,WAIT,0,509.00
2,8,5.0,539.00,WAIT,0,539.00
2,9,5.0,569.00,WAIT,0,569.00
2,10,5.0,599.00,WAIT,0,599.00
2,11,5.0,629.00,WAIT,0,629.00
2,12,5.0,659.00,WAIT,0,659.00
2,13,5.0,689.00,WAIT,0,689.00
2,14,5.0,719.00,WAIT,0,719.00
2,15,5.0,749.00,WAIT,0,749.00
2,16,5.0,779.00,WAIT,0,779.00
2,17,5.0,809.00,WAIT,0,809.00
2,18,5.0,839.00,WAIT,0,839.00
2,19,5.0,869.00,WAIT,0,869.00
2,20,5.0,899.00,WAIT,0,899.00
2,21,5.0,929.00,WAIT,0,929.00
2,22,5.0,959.00,WAIT,0,959.00
2,23,5.0,989.00,WAIT,0,989.00
2,24,5.0,1019.00,WAIT,0,1019.00
2,25,5.0,1049.00,WAIT,0,1049.00
2,26,5.0,1079.00,WAIT,0,1079.00
2,27,5.0,1109.00,WAIT,0,1109.00
2,28,5.0,1139.00,WAIT,0,1139.00
2,29,5.0,1169.00,WAIT,0,1169.00
2,30,5.0,1199.00,WAIT,0,1199.00
3,0,5.0,278.0,WAIT,0,278.0
3,1,5.0,308.00,WAIT,0,308.00
