I2,b1,tau,V_wait,Action,q_star,V_final
-50,0,0.1,1751.83,WAIT,0,1751.83
-50,1,0.1,1757.33,WAIT,0,1757.33
-50,2,0.1,1762.83,WAIT,0,1762.83
-50,3,0.1,1768.33,WAIT,0,1768.33
-50,4,0.1,1773.83,WAIT,0,1773.83
-50,5,0.1,1779.33,WAIT,0,1779.33
-50,6,0.1,1784.83,WAIT,0,1784.83
-50,7,0.1,1790.33,WAIT,0,1790.33
-50,8,0.1,1795.83,WAIT,0,1795.83
-50,9,0.1,1801.33,WAIT,0,1801.33
-50,10,0.1,1806.83,WAIT,0,1806.83
-50,11,0.1,1812.33,WAIT,0,1812.33
-50,12,0.1,1817.83,WAIT,0,1817.83
-50,13,0.1,1823.33,WAIT,0,1823.33
-50,14,0.1,1828.83,WAIT,0,1828.83
-50,15,0.1,1834.33,WAIT,0,1834.33
-50,16,0.1,1839.83,WAIT,0,1839.83
-50,17,0.1,1845.33,WAIT,0,1845.33
-50,18,0.1,1850.83,WAIT,0,1850.83
-50,19,0.1,1856.33,WAIT,0,1856.33
-49,0,0.1,1687.53,WAIT,0,1687.53
-49,1,0.1,1693.03,WAIT,0,1693.03
-49,2,0.1,1698.53,WAIT,0,1698.53
-49,3,0.1,1704.03,WAIT,0,1704.03
-49,4,0.1,1709.53,WAIT,0,1709.53
-49,5,0.1,1715.03,WAIT,0,1715.03
-49,6,0.1,1720.53,WAIT,0,1720.53
-49,7,0.1,1726.03,WAIT,0,1726.03
-49,8,0.1,1731.53,WAIT,0,1731.53
-49,9,0.1,1737.03,WAIT,0,1737.03
-49,10,0.1,1742.53,WAIT,0,1742.53
-49,11,0.1,1748.03,WAIT,0,1748.03
-49,12,0.1,1753.53,WAIT,0,1753.53
-49,13,0.1,1759.03,WAIT,0,1759.03
-49,14,0.1,1764.53,WAIT,0,1764.53
-49,15,0.1,1770.03,WAIT,0,1770.03
-49,16,0.1,1775.53,WAIT,0,1775.53
-49,17,0.1,1781.03,WAIT,0,1781.03
-49,18,0.1,1786.53,WAIT,0,1786.53
-49,19,0.1,1792.03,WAIT,0,1792.03
-48,0,0.1,1624.42,WAIT,0,1624.42
-48,1,0.1,1629.92,WAIT,0,1629.92
-48,2,0.1,1635.42,WAIT,0,1635.42
-48,3,0.1,1640.92,WAIT,0,1640.92
-48,4,0.1,1646.42,WAIT,0,1646.42
-48,5,0.1,1651.92,WAIT,0,1651.92
-48,6,0.1,1657.42,WAIT,0,1657.42
-48,7,0.1,1662.92,WAIT,0,1662.92
-48,8,0.1,1668.42,WAIT,0,1668.42
-48,9,0.1,1673.92,WAIT,0,1673.92
-48,10,0.1,1679.42,WAIT,0,1679.42
-48,11,0.1,1684.92,WAIT,0,1684.92
-48,12,0.1,1690.42,WAIT,0,1690.42
-48,13,0.1,1695.92,WAIT,0,1695.92
-48,14,0.1,1701.42,WAIT,0,1701.42
-48,15,0.1,1706.92,WAIT,0,1706.92
-48,16,0.1,1712.42,WAIT,0,1712.42
-48,17,0.1,1717.92,WAIT,0,1717.92
-48,18,0.1,1723.42,WAIT,0,1723.42
-48,19,0.1,1728.92,WAIT,0,1728.92
-47,0,0.1,1562.53,WAIT,0,1562.53
-47,1,0.1,1568.03,WAIT,0,1568.03
-47,2,0.1,1573.53,WAIT,0,1573.53
-47,3,0.1,1579.03,WAIT,0,1579.03
-47,4,0.1,1584.53,WAIT,0,1584.53
-47,5,0.1,1590.03,WAIT,0,1590.03
-47,6,0.1,1595.53,WAIT,0,1595.53
-47,7,0.1,1601.03,WAIT,0,1601.03
-47,8,0.1,1606.53,WAIT,0,1606.53
-47,9,0.1,1612.03,WAIT,0,1612.03
-47,10,0.1,1617.53,WAIT,0,1617.53
-47,11,0.1,1623.03,WAIT,0,1623.03
-47,12,0.1,1628.53,WAIT,0,1628.53
-47,13,0.1,1634.03,WAIT,0,1634.03
-47,14,0.1,1639.53,WAIT,0,1639.53
