I2,b1,tau,V_wait,Action,q_star,V_final
-50,0,5.0,2135.00,WAIT,0,2135.00
-50,1,5.0,2150.00,WAIT,0,2150.00
-50,2,5.0,2165.00,WAIT,0,2165.00
-50,3,5.0,2180.00,WAIT,0,2180.00
-50,4,5.0,2195.00,WAIT,0,2195.00
-50,5,5.0,2210.00,WAIT,0,2210.00
-50,6,5.0,2225.00,WAIT,0,2225.00
-50,7,5.0,2240.00,WAIT,0,2240.00
-50,8,5.0,2255.00,WAIT,0,2255.00
-50,9,5.0,2270.00,WAIT,0,2270.00
-50,10,5.0,2285.00,WAIT,0,2285.00
-50,11,5.0,2300.00,WAIT,0,2300.00
-50,12,5.0,2315.00,WAIT,0,2315.00
-50,13,5.0,2330.00,WAIT,0,2330.00
-50,14,5.0,2345.00,WAIT,0,2345.00
-50,15,5.0,2360.00,WAIT,0,2360.00
-50,16,5.0,2375.00,WAIT,0,2375.00
-50,17,5.0,2390.00,WAIT,0,2390.00
-50,18,5.0,2405.00,WAIT,0,2405.00
-50,19,5.0,2420.00,WAIT,0,2420.00
-49,0,5.0,2090.60,WAIT,0,2090.60
-49,1,5.0,2105.60,WAIT,0,2105.60
-49,2,5.0,2120.60,WAIT,0,2120.60
-49,3,5.0,2135.60,WAIT,0,2135.60
-49,4,5.0,2150.60,WAIT,0,2150.60
-49,5,5.0,2165.60,WAIT,0,2165.60
-49,6,5.0,2180.60,WAIT,0,2180.60
-49,7,5.0,2195.60,WAIT,0,2195.60
-49,8,5.0,2210.60,WAIT,0,2210.60
-49,9,5.0,2225.60,WAIT,0,2225.60
-49,10,5.0,2240.60,WAIT,0,2240.60
-49,11,5.0,2255.60,WAIT,0,2255.60
-49,12,5.0,2270.60,WAIT,0,2270.60
-49,13,5.0,2285.60,WAIT,0,2285.60
-49,14,5.0,2300.60,WAIT,0,2300.60
-49,15,5.0,2315.60,WAIT,0,2315.60
-49,16,5.0,2330.60,WAIT,0,2330.60
-49,17,5.0,2345.60,WAIT,0,2345.60
-49,18,5.0,2360.60,WAIT,0,2360.60
-49,19,5.0,2375.60,WAIT,0,2375.60
-48,0,5.0,2046.80,WAIT,0,2046.80
-48,1,5.0,2061.80,WAIT,0,2061.80
-48,2,5.0,2076.80,WAIT,0,2076.80
-48,3,5.0,2091.80,WAIT,0,2091.80
-48,4,5.0,2106.80,WAIT,0,2106.80
-48,5,5.0,2121.80,WAIT,0,2121.80
-48,6,5.0,2136.80,WAIT,0,2136.80
-48,7,5.0,2151.80,WAIT,0,2151.80
-48,8,5.0,2166.80,WAIT,0,2166.80
-48,9,5.0,2181.80,WAIT,0,2181.80
-48,10,5.0,2196.80,WAIT,0,2196.80
-48,11,5.0,2211.80,WAIT,0,2211.80
-48,12,5.0,2226.80,WAIT,0,2226.80
-48,13,5.0,2241.80,WAIT,0,2241.80
-48,14,5.0,2256.80,WAIT,0,2256.80
-48,15,5.0,2271.80,WAIT,0,2271.80
-48,16,5.0,2286.80,WAIT,0,2286.80
-48,17,5.0,2301.80,WAIT,0,2301.80
-48,18,5.0,2316.80,WAIT,0,2316.80
-48,19,5.0,2331.80,WAIT,0,2331.80
-47,0,5.0,2003.60,WAIT,0,2003.60
-47,1,5.0,2018.60,WAIT,0,2018.60
-47,2,5.0,2033.60,WAIT,0,2033.60
-47,3,5.0,2048.60,WAIT,0,2048.60
-47,4,5.0,2063.60,WAIT,0,2063.60
-47,5,5.0,2078.60,WAIT,0,2078.60
-47,6,5.0,2093.60,WAIT,0,2093.60
-47,7,5.0,2108.60,WAIT,0,2108.60
-47,8,5.0,2123.60,WAIT,0,2123.60
-47,9,5.0,2138.60,WAIT,0,2138.60
-47,10,5.0,2153.60,WAIT,0,2153.60
-47,11,5.0,2168.60,WAIT,0,2168.60
-47,12,5.0,2183.60,WAIT,0,2183.60
-47,13,5.0,2198.60,WAIT,0,2198.60
-47,14,5.0,2213.60,WAIT,0,2213.60
-47,15,5.0,2228.60,WAIT,0,2228.60
-47,16,5.0,2243.60,WAIT,0,2243.60
-47,17,5.0,2258.60,WAIT,0,2258.60
-47,18,5.0,2273.60,WAIT,0,2273.60
-47,19,5.0,2288.60,WAIT,0,2288.60
-46,0,5.0,1961.00,WAIT,0,1961.00
-46,1,5.0,1976.00,WAIT,0,1976.00
-46,2,5.0,1991.00,WAIT,0,1991.00
-46,3,5.0,2006.00,WAIT,0,2006.00
-46,4,5.0,2021.00,WAIT,0,2021.00
-46,5,5.0,2036.00,WAIT,0,2036.00
-46,6,5.0,2051.00,WAIT,0,2051.00
-46,7,5.0,2066.00,WAIT,0,2066.00
-46,8,5.0,2081.00,WAIT,0,2081.00
-46,9,5.0,2096.00,WAIT,0,2096.00
-46,10,5.0,2111.00,WAIT,0,2111.00
-46,11,5.0,2126.00,WAIT,0,2126.00
-46,12,5.0,2141.00,WAIT,0,2141.00
-46,13,5.0,2156.00,WAIT,0,2156.00
-46,14,5.0,2171.00,WAIT,0,2171.00
-46,15,5.0,2186.00,WAIT,0,2186.00
-46,16,5.0,2201.00,WAIT,0,2201.00
-46,17,5.0,2216.00,WAIT,0,2216.00
-46,18,5.0,2231.00,WAIT,0,2231.00
-46,19,5.0,2246.00,WAIT,0,2246.00
-45,0,5.0,1919.00,WAIT,0,1919.00
-45,1,5.0,1934.00,WAIT,0,1934.00
-45,2,5.0,1949.00,WAIT,0,1949.00
-45,3,5.0,1964.00,WAIT,0,1964.00
-45,4,5.0,1979.00,WAIT,0,1979.00
-45,5,5.0,1994.00,WAIT,0,1994.00
-45,6,5.0,2009.00,WAIT,0,2009.00
-45,7,5.0,2024.00,WAIT,0,2024.00
-45,8,5.0,2039.00,WAIT,0,2039.00
-45,9,5.0,2054.00,WAIT,0,2054.00
-45,10,5.0,2069.00,WAIT,0,2069.00
-45,11,5.0,2084.00,WAIT,0,2084.00
-45,12,5.0,2099.00,WAIT,0,2099.00
-45,13,5.0,2114.00,WAIT,0,2114.00
-45,14,5.0,2129.00,WAIT,0,2129.00
-45,15,5.0,2144.00,WAIT,0,2144.00
-45,16,5.0,2159.00,WAIT,0,2159.00
-45,17,5.0,2174.00,WAIT,0,2174.00
-45,18,5.0,2189.00,WAIT,0,2189.00
-45,19,5.0,2204.00,WAIT,0,2204.00
-44,0,5.0,1877.60,WAIT,0,1877.60
-44,1,5.0,1892.60,WAIT,0,1892.60
-44,2,5.0,1907.60,WAIT,0,1907.60
-44,3,5.0,1922.60,WAIT,0,1922.60
-44,4,5.0,1937.60,WAIT,0,1937.60
-44,5,5.0,1952.60,WAIT,0,1952.60
-44,6,5.0,1967.60,WAIT,0,1967.60
-44,7,5.0,1982.60,WAIT,0,1982.60
-44,8,5.0,1997.60,WAIT,0,1997.60
-44,9,5.0,2012.60,WAIT,0,2012.60
-44,10,5.0,2027.60,WAIT,0,2027.60
-44,11,5.0,2042.60,WAIT,0,2042.60
-44,12,5.0,2057.60,WAIT,0,2057.60
-44,13,5.0,2072.60,WAIT,0,2072.60
-44,14,5.0,2087.60,WAIT,0,2087.60
-44,15,5.0,2102.60,WAIT,0,2102.60
-44,16,5.0,2117.60,WAIT,0,2117.60
-44,17,5.0,2132.60,WAIT,0,2132.60
-44,18,5.0,2147.60,WAIT,0,2147.60
-44,19,5.0,2162.60,WAIT,0,2162.60
-43,0,5.0,1836.80,WAIT,0,1836.80
-43,1,5.0,1851.80,WAIT,0,1851.80
-43,2,5.0,1866.80,WAIT,0,1866.80
-43,3,5.0,1881.80,WAIT,0,1881.80
-43,4,5.0,1896.80,WAIT,0,1896.80
-43,5,5.0,1911.80,WAIT,0,1911.80
-43,6,5.0,1926.80,WAIT,0,1926.80
-43,7,5.0,1941.80,WAIT,0,1941.80
-43,8,5.0,1956.80,WAIT,0,1956.80
-43,9,5.0,1971.80,WAIT,0,1971.80
-43,10,5.0,1986.80,WAIT,0,1986.80
-43,11,5.0,2001.80,WAIT,0,2001.80
-43,12,5.0,2016.80,WAIT,0,2016.80
-43,13,5.0,2031.80,WAIT,0,2031.80
-43,14,5.0,2046.80,WAIT,0,2046.80
-43,15,5.0,2061.80,WAIT,0,2061.80
-43,16,5.0,2076.80,WAIT,0,2076.80
-43,17,5.0,2091.80,WAIT,0,2091.80
-43,18,5.0,2106.80,WAIT,0,2106.80
-43,19,5.0,2121.80,WAIT,0,2121.80
-42,0,5.0,1796.60,WAIT,0,1796.60
-42,1,5.0,1811.60,WAIT,0,1811.60
-42,2,5.0,1826.60,WAIT,0,1826.60
-42,3,5.0,1841.60,WAIT,0,1841.60
-42,4,5.0,1856.60,WAIT,0,1856.60
-42,5,5.0,1871.60,WAIT,0,1871.60
-42,6,5.0,1886.60,WAIT,0,1886.60
-42,7,5.0,1901.60,WAIT,0,1901.60
-42,8,5.0,1916.60,WAIT,0,1916.60
-42,9,5.0,1931.60,WAIT,0,1931.60
-42,10,5.0,1946.60,WAIT,0,1946.60
-42,11,5.0,1961.60,WAIT,0,1961.60
-42,12,5.0,1976.60,WAIT,0,1976.60
-42,13,5.0,1991.60,WAIT,0,1991.60
-42,14,5.0,2006.60,WAIT,0,2006.60
-42,15,5.0,2021.60,WAIT,0,2021.60
-42,16,5.0,2036.60,WAIT,0,2036.60
-42,17,5.0,2051.60,WAIT,0,2051.60
-42,18,5.0,2066.60,WAIT,0,2066.60
-42,19,5.0,2081.60,WAIT,0,2081.60
-41,0,5.0,1757.00,WAIT,0,1757.00
-41,1,5.0,1772.00,WAIT,0,1772.00
-41,2,5.0,1787.00,WAIT,0,1787.00
-41,3,5.0,1802.00,WAIT,0,1802.00
-41,4,5.0,1817.00,WAIT,0,1817.00
-41,5,5.0,1832.00,WAIT,0,1832.00
-41,6,5.0,1847.00,WAIT,0,1847.00
-41,7,5.0,1862.00,WAIT,0,1862.00
-41,8,5.0,1877.00,WAIT,0,1877.00
-41,9,5.0,1892.00,WAIT,0,1892.00
-41,10,5.0,1907.00,WAIT,0,1907.00
-41,11,5.0,1922.00,WAIT,0,1922.00
-41,12,5.0,1937.00,WAIT,0,1937.00
-41,13,5.0,1952.00,WAIT,0,1952.00
-41,14,5.0,1967.00,WAIT,0,1967.00
-41,15,5.0,1982.00,WAIT,0,1982.00
-41,16,5.0,1997.00,WAIT,0,1997.00
-41,17,5.0,2012.00,WAIT,0,2012.00
-41,18,5.0,2027.00,WAIT,0,2027.00
-41,19,5.0,2042.00,WAIT,0,2042.00
-40,0,5.0,1718.00,WAIT,0,1718.00
-40,1,5.0,1733.00,WAIT,0,1733.00
-40,2,5.0,1748.00,WAIT,0,1748.00
