Time_Step,Backlog_Level_b1,Trigger_Inventory_I2
0,0,No_Transshipment
0,1,No_Transshipment
0,2,No_Transshipment
0,3,No_Transshipment
0,4,5
0,5,5
0,6,5
0,7,5
0,8,5
0,9,5
0,10,5
0,11,5
0,12,5
0,13,6
0,14,6
0,15,6
0,16,7
0,17,7
0,18,8
0,19,9
0,20,10
1,0,No_Transshipment
1,1,No_Transshipment
1,2,No_Transshipment
1,3,No_Transshipment
1,4,5
1,5,5
1,6,5
1,7,5
1,8,5
1,9,5
1,10,5
1,11,5
1,12,5
1,13,6
1,14,6
1,15,6
1,16,7
1,17,7
1,18,8
1,19,9
1,20,10
2,0,No_Transshipment
2,1,No_Transshipment
2,2,No_Transshipment
2,3,No_Transshipment
2,4,5
2,5,5
2,6,5
2,7,5
2,8,5
2,9,5
2,10,5
2,11,5
2,12,5
2,13,6
2,14,6
2,15,6
2,16,7
2,17,7
2,18,8
2,19,9
2,20,10
3,0,No_Transshipment
3,1,No_Transshipment
3,2,No_Transshipment
3,3,No_Transshipment
3,4,5
3,5,5
3,6,5
3,7,5
3,8,5
3,9,5
3,10,5
3,11,5
3,12,5
3,13,6
3,14,6
3,15,6
3,16,7
3,17,7
3,18,8
3,19,9
3,20,10
4,0,No_Transshipment
4,1,No_Transshipment
4,2,No_Transshipment
4,3,No_Transshipment
4,4,5
4,5,5
4,6,5
4,7,5
4,8,5
4,9,5
4,10,5
4,11,5
4,12,5
4,13,6
4,14,6
4,15,6
4,16,7
4,17,7
4,18,8
4,19,9
4,20,10
5,0,No_Transshipment
5,1,No_Transshipment
5,2,No_Transshipment
5,3,No_Transshipment
5,4,5
5,5,5
5,6,5
5,7,5
5,8,5
5,9,5
5,10,5
5,11,5
5,12,5
5,13,6
5,14,6
5,15,6
5,16,7
5,17,7
5,18,8
5,19,9
5,20,10
6,0,No_Transshipment
6,1,No_Transshipment
6,2,No_Transshipment
6,3,No_Transshipment
6,4,5
6,5,5
6,6,5
6,7,5
6,8,5
6,9,5
6,10,5
6,11,5
6,12,5
6,13,6
6,14,6
6,15,6
6,16,7
6,17,7
6,18,8
6,19,9
6,20,10
7,0,No_Transshipment
7,1,No_Transshipment
7,2,No_Transshipment
7,3,No_Transshipment
7,4,5
7,5,5
7,6,5
7,7,5
7,8,5
7,9,5
7,10,5
7,11,5
7,12,5
7,13,6
7,14,6
7,15,6
7,16,7
7,17,7
7,18,8
7,19,9
7,20,10
8,0,No_Transshipment
8,1,No_Transshipment
8,2,No_Transshipment
8,3,No_Transshipment
8,4,5
8,5,5
8,6,5
8,7,5
8,8,5
8,9,5
8,10,5
8,11,5
8,12,5
8,13,6
8,14,6
8,15,6
8,16,7
8,17,7
8,18,8
8,19,9
8,20,10
9,0,No_Transshipment
9,1,No_Transshipment
9,2,No_Transshipment
9,3,No_Transshipment
9,4,5
9,5,5
9,6,5
9,7,5
9,8,5
9,9,5
9,10,5
9,11,5
9,12,5
9,13,6
9,14,6
9,15,6
9,16,7
9,17,7
9,18,8
9,19,9
9,20,10
10,0,No_Transshipment
10,1,No_Transshipment
10,2,No_Transshipment
10,3,No_Transshipment
10,4,5
10,5,5
10,6,5
10,7,5
10,8,5
10,9,5
10,10,5
10,11,5
10,12,5
10,13,6
10,14,6
10,15,6
10,16,7
10,17,7
10,18,8
10,19,9
10,20,10
11,0,No_Transshipment
11,1,No_Transshipment
11,2,No_Transshipment
11,3,No_Transshipment
11,4,5
11,5,5
11,6,5
11,7,5
11,8,5
11,9,5
11,10,5
11,11,5
11,12,5
11,13,6
11,14,6
11,15,6
11,16,7
11,17,7
11,18,8
11,19,9
11,20,10
12,0,No_Transshipment
12,1,No_Transshipment
12,2,No_Transshipment
12,3,No_Transshipment
12,4,5
12,5,5
12,6,5
12,7,5
12,8,5
12,9,5
12,10,5
12,11,5
12,12,5
12,13,6
12,14,6
12,15,6
12,16,7
12,17,7
12,18,8
12,19,9
12,20,10
13,0,No_Transshipment
13,1,No_Transshipment
13,2,No_Transshipment
13,3,No_Transshipment
13,4,5
13,5,5
13,6,5
13,7,5
13,8,5
13,9,5
13,10,5
13,11,5
13,12,5
13,13,6
13,14,6
13,15,6
13,16,7
13,17,7
13,18,8
13,19,9
13,20,10
14,0,No_Transshipment
14,1,No_Transshipment
14,2,No_Transshipment
14,3,No_Transshipment
14,4,5
14,5,5
14,6,5
14,7,5
14,8,5
14,9,5
14,10,5
14,11,5
14,12,5
14,13,6
14,14,6
14,15,6
14,16,7
14,17,7
14,18,8
14,19,9
14,20,10
15,0,No_Transshipment
15,1,No_Transshipment
15,2,No_Transshipment
15,3,No_Transshipment
15,4,5
15,5,5
15,6,5
15,7,5
15,8,5
15,9,5
15,10,5
15,11,5
15,12,5
15,13,6
15,14,6
15,15,6
15,16,7
15,17,7
15,18,8
15,19,9
15,20,10
16,0,No_Transshipment
16,1,No_Transshipment
16,2,No_Transshipment
16,3,No_Transshipment
16,4,5
16,5,5
16,6,5
16,7,5
16,8,5
16,9,5
16,10,5
16,11,5
16,12,5
16,13,6
16,14,6
16,15,6
16,16,7
16,17,7
16,18,8
16,19,9
16,20,10
17,0,No_Transshipment
17,1,No_Transshipment
17,2,No_Transshipment
17,3,No_Transshipment
17,4,5
17,5,5
17,6,5
17,7,5
17,8,5
17,9,5
17,10,5
17,11,5
17,12,5
17,13,6
17,14,6
17,15,6
17,16,7
17,17,7
17,18,8
17,19,9
17,20,10
18,0,No_Transshipment
18,1,No_Transshipment
18,2,No_Transshipment
18,3,No_Transshipment
18,4,5
18,5,5
18,6,5
18,7,5
18,8,5
18,9,5
18,10,5
18,11,5
18,12,5
18,13,6
18,14,6
18,15,6
18,16,7
18,17,7
18,18,8
18,19,9
18,20,10
19,0,No_Transshipment
19,1,No_Transshipment
19,2,No_Transshipment
19,3,No_Transshipment
19,4,5
19,5,5
19,6,5
19,7,5
19,8,5
19,9,5
19,10,5
19,11,5
19,12,5
19,13,6
19,14,6
19,15,6
19,16,7
19,17,7
19,18,8
19,19,9
19,20,10
20,0,No_Transshipment
20,1,No_Transshipment
20,2,No_Transshipment
20,3,No_Transshipment
20,4,5
20,5,5
20,6,5
20,7,5
20,8,5
20,9,5
20,10,5
20,11,5
20,12,5
20,13,6
20,14,6
20,15,6
20,16,7
20,17,7
20,18,8
20,19,9
20,20,10
21,0,No_Transshipment
21,1,No_Transshipment
21,2,No_Transshipment
21,3,No_Transshipment
21,4,6
21,5,5
21,6,5
21,7,5
21,8,5
21,9,5
21,10,5
21,11,5
21,12,5
21,13,6
21,14,6
21,15,6
21,16,7
21,17,7
21,18,8
21,19,9
21,20,10
22,0,No_Transshipment
22,1,No_Transshipment
22,2,No_Transshipment
22,3,No_Transshipment
22,4,6
22,5,5
22,6,5
22,7,5
22,8,5
22,9,5
22,10,5
22,11,5
22,12,5
22,13,6
22,14,6
22,15,6
22,16,7
22,17,7
22,18,8
22,19,9
22,20,10
23,0,No_Transshipment
23,1,No_Transshipment
